company,category,category_source
Knorr-Bremse Australia Pty Limited,Automotive,inferred
Known Pty Ltd,Unknown / To Check,unresolved
Knox Grammar School,Education - Schools & Training,original
KOALA SLEEP PTY LTD,Consumer Goods & Retail,inferred
KOBELCO CONSTRUCTION MACHINERY AUSTRALIA PTY LIMITED,Engineering & Construction,original
Kogan HR Pty Ltd,Consumer Goods & Retail,inferred
KOGNITIV AUSTRALIA PTY LTD,Information Technology & Software,inferred
Koichi Takada Architects Pty Ltd,Architecture & Design,inferred
KOJO Studios Pty Ltd,"Media, Entertainment & Creative",original
KOMATSU AUSTRALIA PTY LTD,Manufacturing & Industrial,inferred
KOMATSU FORKLIFT AUSTRALIA PTY LTD,Manufacturing & Industrial,inferred
KONAMI AUSTRALIA PTY LTD,"Media, Entertainment & Creative",inferred
Kone Elevators Pty Ltd,Manufacturing & Industrial,inferred
KONECRANES AND DE-MAG PTY LTD,Manufacturing & Industrial,inferred
Kongsberg Maritime Pty Ltd,Defence & Aerospace,inferred
Konica Minolta Business Solutions Australia Pty Ltd,Manufacturing & Industrial,inferred
KOOLRITE CONSTRUCTION PTY LTD,Engineering & Construction,original
KORDAMENTHA PTY LTD,"Consulting, Accounting & Professional Services",inferred
KOREAN AIRLINES CO. LTD,Aviation & Aerospace,original
KORN FERRY (AU) PTY LTD,"Recruitment, HR & Labour Hire",inferred
Kororoit Creek Primary School,Education - Schools & Training,original
KOTZUR PTY LTD,"Agriculture, Food & Beverage",inferred
Kounta Pty Limited,Information Technology & Software,inferred
KPMG AUSTRALIAN SERVICES PTY LTD,"Consulting, Accounting & Professional Services",original
Krones Pacfic Pty Ltd,Manufacturing & Industrial,inferred
KRONOS AUSTRALIA PTY LIMITED,Information Technology & Software,inferred
KSB AUSTRALIA PTY LTD,Manufacturing & Industrial,inferred
KTM AUSTRALIA HOLDING PTY LTD,Automotive,inferred
Kubota Australia Pty Ltd,"Agriculture, Food & Beverage",inferred
Kuehne & Nagel Pty Ltd,Transport & Logistics,inferred
Kufpec Australia Pty Ltd,"Mining, Resources & Energy",inferred
Kulani Kinis Pty Limited,Consumer Goods & Retail,inferred
KULLEEN pn' LTD,Unknown / To Check,unresolved
KUMAR MOTORS (BANKSTOWN) PTY LTD,Automotive,inferred
KURI_JNJANG SECONDARY COLLEGE,Education - Schools & Training,original
KURNAI COLLEGE,Education - Schools & Training,original
KYABRAM AND DISTRICT HEALTH SERVICE,"Healthcare, Medical & Pharmaceutical",original
Kyndryl Australia Pty Ltd,Information Technology & Software,inferred
KYOCERA DOCUMENT SOLUTIONS AUSTRALIA PTY LTD,Manufacturing & Industrial,inferred
L G Software Solutions Pty Ltd,Information Technology & Software,original
L'OCCITANE AUSTRALIA PTY LTD,Consumer Goods & Retail,inferred
L'OREAL AUSTRALIA PTY LTD,Consumer Goods & Retail,inferred
L.E.K. Consulting Australia Pty Ltd,"Consulting, Accounting & Professional Services",original
L.V. DOHNT & CO. PTY. LIMITED,Unknown / To Check,unresolved
La Trobe University,Education - Universities & Higher Ed,original
LACTALIS AUSTRALIA PTY LTD,"Agriculture, Food & Beverage",inferred
LAING O'ROURKE AUSTRALIA CONSTRUCTION PTY LTD,Engineering & Construction,original
Lake George Hotel Pty Ltd,"Hospitality, Travel & Tourism",original
LALOR SECONDARY COLLEGE,Education - Schools & Training,original
LAMATTINA HOLDINGS PTY LTD,"Agriculture, Food & Beverage",inferred
LAMINEX GROUP PTY LIMITED,Manufacturing & Industrial,inferred
LANDIS & GYR PTY LTD,Manufacturing & Industrial,inferred
Landpower Australia Pty Ltd,"Agriculture, Food & Beverage",inferred
LARKENLEA NOMINEES PTY LTD,Unknown / To Check,unresolved
Larrakia Nation Aboriginal Corporation,Automotive,original
LASERBOND LIMITED,Manufacturing & Industrial,inferred
LATITUDE FINANCIAL SERVICES AUSTRALIA HOLDINGS PTY LTD,Banking & Financial Services,original
Latrobe Community Health Service Limited,"Healthcare, Medical & Pharmaceutical",original
Latrobe Regional Health,"Healthcare, Medical & Pharmaceutical",original
LAUNCH HOUSING LIMITED,"Religious, Charitable & Non-profit",inferred
LAVAZZA AUSTRALIA PTY LIMITED,"Agriculture, Food & Beverage",inferred
LDA HOLDINGS pn' LTD,Unknown / To Check,unresolved
Leaders IT Services Pty Ltd,Information Technology & Software,inferred
LEAP AUSTRALIA PTY LTD,Information Technology & Software,inferred
LEAP SOFTWARE DEVELOPMENTS PTY LIMITED,Information Technology & Software,original
Learnosity Pty Ltd,Information Technology & Software,inferred
LEASING FINANCE SERVICES PTY LTD,Banking & Financial Services,original
LEDVANCE PTY LTD,Manufacturing & Industrial,inferred
LegalVision ILP Pty Ltd,Legal Services,inferred
LEGRAND AUSTRALIA PTY LTD,Manufacturing & Industrial,inferred
Leica Biosystems Melbourne Pty Ltd,"Healthcare, Medical & Pharmaceutical",inferred
LEIDOS PTY LIMITED,Information Technology & Software,original
LEND ME A HAND PTY LTD,Unknown / To Check,unresolved
Lendlease Corporation Limited,Engineering & Construction,inferred
LENOVO (AUSTRALIA AND NEW ZEALAND) PTY LTD,Information Technology & Software,inferred
LEONARDO AUSTRALIA PTY LTD,Defence & Aerospace,inferred
LG Electronics Australia Pty Ltd,Consumer Goods & Retail,inferred
LIBERTY FINANCIAL GROUP LIMITED,Banking & Financial Services,original
Liberty Industrial Pty Ltd,Manufacturing & Industrial,original
LIBERTY MUTUAL INSURANCE COMPANY,Insurance,original
Liebherr-Australia Pty. Ltd.,Manufacturing & Industrial,inferred
Life Research Pty Ltd,Unknown / To Check,unresolved
Life Trading Pty Ltd,Unknown / To Check,unresolved
LIFE WITHOUT BARRIERS - NEWCASTLE,"Aged Care, Disability & Social Services",inferred
LIFE-FLIGHT RETRIEVAL MEDICINE LIMITED,"Healthcare, Medical & Pharmaceutical",original
Lifehouse Australia,"Healthcare, Medical & Pharmaceutical",inferred
LIFESTYLE SOLUTIONS (AUST) LTD,"Aged Care, Disability & Social Services",inferred
LIFTRITE HIRE AND SALES PTY LTD,Manufacturing & Industrial,inferred
Lighthouse Foundation,"Religious, Charitable & Non-profit",original
LIMEPOINT PTY LTD,Information Technology & Software,inferred
Limestone Coast Local Health Network Incorporated,"Healthcare, Medical & Pharmaceutical",original
Linde Material Handling Pty Ltd,Manufacturing & Industrial,inferred
LINDT & SPRUNGLI (AUSTRALIA) PTY LTD,"Agriculture, Food & Beverage",inferred
LINEAR CLINICAL RESEARCH LTD,"Healthcare, Medical & Pharmaceutical",original
LINFOX PROPRIETARY LIMITED,Transport & Logistics,inferred
Linkedln Singapore Pte. Ltd.,Information Technology & Software,inferred
Linktree Pty Ltd,Information Technology & Software,inferred
LION PTY LTD,"Agriculture, Food & Beverage",inferred
Lithgow Railway Workshop Pty Ltd,Manufacturing & Industrial,inferred
LITTLE COMPANY OF MARY HEALTH CARE LIMITED,"Healthcare, Medical & Pharmaceutical",original
LITTLE GREEN PHARMA LTD,"Healthcare, Medical & Pharmaceutical",inferred
LiveBig Pty Ltd,"Aged Care, Disability & Social Services",inferred
Lloyd Helicopters Pty Ltd,Aviation & Aerospace,inferred
Lloyd's Register International,"Consulting, Accounting & Professional Services",inferred
LMATS PTY LTD,"Consulting, Accounting & Professional Services",inferred
lnDebted Australia Pty Ltd,Banking & Financial Services,inferred
LNW GAMING ANZ PTY LTD,"Media, Entertainment & Creative",original
Local Land Services,Government & Public Sector,inferred
"Lockheed Martin Global, Inc",Defence & Aerospace,inferred
LOGISTEED Australia Pty. Ltd.,Transport & Logistics,inferred
Logos Australia Group Pty Ltd,Real Estate & Property,inferred
Logwin Air & Ocean Australia Pty Ltd,Transport & Logistics,inferred
LOMBARDI NOMINEES PTY LTD,Unknown / To Check,unresolved
LORBRAND ASIA PACIFIC PTY LTD,Manufacturing & Industrial,inferred
Lord Howe Island Board,Government & Public Sector,inferred
LOUIS DREYFUS COMPANY AUSTRALIA PTY LTD,"Agriculture, Food & Beverage",inferred
Louis Vuitton Australia Pty Ltd,Consumer Goods & Retail,inferred
Lowy Institute for International Policy,"Religious, Charitable & Non-profit",inferred
LTK AUSTRALIA PTY LTD,Unknown / To Check,unresolved
LUERSSEN AUSTRALIA PTY LTD,Defence & Aerospace,inferred
Lululemon Athletica Australia Pty Ltd,Consumer Goods & Retail,inferred
Luma Pictures Pty Ltd,"Media, Entertainment & Creative",inferred
Lumen Christi Catholic Primary School,Education - Schools & Training,original
Luminis Partners Pty Ltd,Banking & Financial Services,inferred
LUNDBECK AUSTRALIA PTY LTD,"Healthcare, Medical & Pharmaceutical",inferred
LUTHERAN CHURCH OF AUSTRALIA QUEENSLAND DISTRICT (LUTHERAN COMMUNITY CARE),"Aged Care, Disability & Social Services",original
LUXOFT FINANCIAL SERVICES UK LIMITED,Information Technology & Software,original
Luxottica Retail Australia Pty Limited,Consumer Goods & Retail,original
Luxury Escapes Travel Pty Ltd,"Hospitality, Travel & Tourism",original
Lynas Kalgoorlie Pty Ltd,"Mining, Resources & Energy",inferred
LYNDOCH LIVING LIMITED,"Aged Care, Disability & Social Services",inferred
LYNTON SURVEYS PTY LTD,Engineering & Construction,inferred
M & C Saatchi Agency Pty Ltd,Marketing & Advertising,inferred
M.R.V.L. Investments Pty Ltd,Banking & Financial Services,original
MA ADMINISTRATION SERVICES PTY LTD,Banking & Financial Services,inferred
MACA Mining Pty Ltd,"Mining, Resources & Energy",original
MACDONNELL REGIONAL COUNCIL,Government & Public Sector,original
Mach 1 Panel & Paint Pty Ltd,Automotive,inferred
Mackay Conveyor Equipment Pty Ltd,Manufacturing & Industrial,original
MACKAY SUGAR LIMITED,"Agriculture, Food & Beverage",original
MACKILLOP FAMILY SERVICES LIMITED,"Aged Care, Disability & Social Services",inferred
MACLEAN VALLEY NURSING HOME PTY LIMITED,"Healthcare, Medical & Pharmaceutical",original
MACMAHON HOLDINGS LIMITED,"Mining, Resources & Energy",inferred
Macquarie Bank Limited,Banking & Financial Services,original
Macquarie Corporate Holdings Pty Limited,Banking & Financial Services,original
Macquarie Education Group Australia Pty Ltd,Banking & Financial Services,original
MACQUARIE GROUP SERVICES AUSTRALIA PTY LTD,Banking & Financial Services,original
MACQUARIE TECHNOLOGY OPERATIONS PTY LTD,Banking & Financial Services,original
MACQUARIE UNIVERSITY,Banking & Financial Services,original
Maddocks,Legal Services,inferred
MADER CONTRACTING PTY LTD,Engineering & Construction,original
Maersk A/S,Transport & Logistics,inferred
MAF INTERNATIONAL,"Religious, Charitable & Non-profit",inferred
Magnetic Automation Pty. Ltd.,Manufacturing & Industrial,inferred
Mahindra Automotive Australia Pty Ltd,Automotive,inferred
Main Roads Western Australia,Government & Public Sector,inferred
MAINFREIGHT AIR & OCEAN PTY LTD,Transport & Logistics,inferred
MAINMARK GROUND ENGINEERING PTY LTD,Engineering & Construction,original
Majans Pty Ltd,"Agriculture, Food & Beverage",inferred
MAJURA PARK CHILDCARE CENTRE PTY LTD,Education - Schools & Training,original
MAKITA (AUSTRALIA) PTY LTD,Manufacturing & Industrial,inferred
MAKO TRADING AUSTRALIA PTY LTD,Unknown / To Check,unresolved
Malcolm Thompson Pumps Pty Ltd,Manufacturing & Industrial,inferred
MALLEE TRACK HEALTH AND COMMUNITY SERVICE,"Healthcare, Medical & Pharmaceutical",original
MALTEUROP AUSTRALIA PTY LTD,"Agriculture, Food & Beverage",inferred
Malvern Central School,Education - Schools & Training,original
Mammoet Australia Pty Ltd,Transport & Logistics,inferred
Mammoet Pty Ltd,Transport & Logistics,inferred
MAN ENERGY SOLUTIONS AUSTRALIA PTY LTD,"Mining, Resources & Energy",original
MANAGEMENT REPORTS INTERNATIONAL PTY LIMITED,Unknown / To Check,unresolved
MANHATTAN ASSOCIATES PTY LTD,Information Technology & Software,inferred
MANITOU AUSTRALIA PTY LTD,Manufacturing & Industrial,inferred
Manly-Warringah Sea Eagles Limited,"Media, Entertainment & Creative",inferred
Manor Lakes P - 12 College,Education - Schools & Training,original
Manpower Services (Australia) Pty Ltd,"Recruitment, HR & Labour Hire",original
MANSFIELD DISTRICT HOSPITAL,"Healthcare, Medical & Pharmaceutical",original
Mansfield Secondary College,Education - Schools & Training,original
MANTRA HOSPITALITY ADMIN PTY LTD,"Hospitality, Travel & Tourism",original
MAPS Hotels and Resorts Sydney 1 Pty Ltd,"Hospitality, Travel & Tourism",original
MAPTEK PTY. LIMITED,Information Technology & Software,inferred
MARCHESE PARTNERS INTERNATIONAL PTY LTD,Architecture & Design,inferred
MARCO POLO AGED CARE SERVICES LIMITED,"Aged Care, Disability & Social Services",original
MARIBYRNONG SECONDARY COLLEGE,Education - Schools & Training,original
MARINA DIAGNOSTIC GROUP PTY LTD,"Healthcare, Medical & Pharmaceutical",original
Marketplacer Pty Ltd,Information Technology & Software,inferred
Marlau Nominees Pty Ltd,Unknown / To Check,unresolved
MARRIOTT INTERNATIONAL MANAGEMENT COMPANY B.v.,"Hospitality, Travel & Tourism",original
MARS AUSTRALIA PTY LTD,"Agriculture, Food & Beverage",original
MARSH PTY LTD,Insurance,original
MARSHALL DAY ACOUSTICS PTY LTD,Engineering & Construction,inferred
MARTIN-BROWER AUSTRALIA PTY LTD,Transport & Logistics,inferred
MARUBENI AUSTRALIA LTD,"Mining, Resources & Energy",inferred
MARUBENI RESOURCES DEVELOPMENT PTY LTD,"Mining, Resources & Energy",original
Marubeni-Itochu Tubulars Oceania Pty Ltd,Manufacturing & Industrial,inferred
Maryborough District Health Service,"Healthcare, Medical & Pharmaceutical",original
Mastercard Asia/Pacific (Australia) Pty Ltd,Banking & Financial Services,original
Masterpet Australia Pty Ltd,Consumer Goods & Retail,inferred
MATER MISERICORDIAE LTD,"Healthcare, Medical & Pharmaceutical",inferred
Mathspace Pty Ltd,Information Technology & Software,inferred
MATTEL PTY LIMITED,Consumer Goods & Retail,inferred
Maven Securities Australia Pty Ltd,Banking & Financial Services,original
Maxam Australia Pty ltd,"Mining, Resources & Energy",inferred
MAYNE PHARMA INTERNATIONAL PTY LTD,"Healthcare, Medical & Pharmaceutical",inferred
Mazars Global Infrastructure Finance (Australia) Pyt Ltd,Engineering & Construction,original
MAZDA AUSTRALIA PTY LIMITED,Automotive,original
MB SOLUTIONS AUSTRALIA PTY LTD,Unknown / To Check,unresolved
MBGSHOLDINGS PTY LTD,Unknown / To Check,unresolved
MBMpl Pty Ltd,Unknown / To Check,unresolved
MC DONALDS AUSTRALIA LIMITED,"Hospitality, Travel & Tourism",inferred
MC Labour Services PTY LTD,"Recruitment, HR & Labour Hire",inferred
MCARTHUR (VIC) PTY LTD,"Recruitment, HR & Labour Hire",inferred
MCC VERSTRAETE AUSTRALIA PTY LTD,Manufacturing & Industrial,inferred
MCCAIN FOODS (AUST) PTY LTD,"Agriculture, Food & Beverage",original
MCCANN WORLDGROUP PTY LIMITED,Marketing & Advertising,inferred
MCCARROLL'S OF MOSS VALE PTY LTD,Automotive,inferred
McCLELLAND SECONDARY COLLEGE,Education - Schools & Training,original
MCCONNELL DOWELL CONSTRUCTORS (AUST) PTY LTD,Engineering & Construction,inferred
McCorkelI & Associates Pty Limited,Engineering & Construction,inferred
McCosker Contracting Pty Ltd,Engineering & Construction,original
MCD Australia Pty Ltd,Unknown / To Check,unresolved
MCDERMOTT AUSTRALIA PTY. LTD.,Engineering & Construction,inferred
McHugh Steel Pty Ltd,Engineering & Construction,original
McKinsey Pacific Rim Inc,"Consulting, Accounting & Professional Services",original
McLean Packing Staff Pty Ltd,"Recruitment, HR & Labour Hire",inferred
MDEGROUP PTY LTD,Unknown / To Check,unresolved
ME-DECINS SANS FRONTIERES AUSTRALIA LIMITED,"Religious, Charitable & Non-profit",inferred
ME-DI.COM AUSTRALIA PTY. LTD.,Unknown / To Check,unresolved
ME-DPACE AUSTRALIA PTY LIMITED,"Healthcare, Medical & Pharmaceutical",inferred
ME-NIJLOG PTY LTD,"Hospitality, Travel & Tourism",inferred
ME-TSO AUSTRALIA PTY LTD,Manufacturing & Industrial,inferred
MEAT HAPPINESS PTY LTD,"Agriculture, Food & Beverage",original
Meat Inspectors Pty Ltd,"Agriculture, Food & Beverage",original
Mecca Brands Pty Ltd,Consumer Goods & Retail,original
Medallia Australia Pty Ltd,Information Technology & Software,inferred
MedHealth Pty Limited,"Healthcare, Medical & Pharmaceutical",inferred
Mediabrands Australia Pty Ltd,Marketing & Advertising,inferred
Medibank Private Limited,Insurance,original
Medicheck Australia Pty Ltd,"Healthcare, Medical & Pharmaceutical",inferred
Medina Property Services Pty Ltd,Real Estate & Property,original
MEDITECH PTY LTD ATF MEDITECH TRUST,Information Technology & Software,inferred
Medrecruit International LP,"Recruitment, HR & Labour Hire",inferred
MEDTRONIC AUSTRALASIA PTY LTD,"Healthcare, Medical & Pharmaceutical",original
Meiko Australia Pacific Pty Ltd,Manufacturing & Industrial,inferred
MELANOMA INSTITUTE AUSTRALIA,"Healthcare, Medical & Pharmaceutical",inferred
Melba Secondary College,Education - Schools & Training,original
MELBOURNE ARCHDIOCESE CATHOLIC SCHOOLS LTD,Education - Schools & Training,original
Melbourne Business School Limited,Education - Schools & Training,original
MELBOURNE CITY FC PTY LTD,"Media, Entertainment & Creative",inferred
Melbourne City Mission,"Religious, Charitable & Non-profit",original
Melbourne Football Club Limited,"Media, Entertainment & Creative",inferred
Melbourne Health,"Healthcare, Medical & Pharmaceutical",original
MELBOURNE SCHOOL OF THEOLOGY,Education - Schools & Training,original
Melbourne Symphony Orchestra Pty Ltd,"Media, Entertainment & Creative",inferred
MELBOURNE WATER CORPORATION,Government & Public Sector,inferred
Melton Specialist School,Education - Schools & Training,original
MELTON WEST PRIMARY SCHOOL,Education - Schools & Training,original
Meltwater Australia Pty Limited,Information Technology & Software,inferred
Memjet North Ryde Pty Limited,Manufacturing & Industrial,inferred
MENARD OCEANIA PTY LTD,Engineering & Construction,inferred
Mercedes Benz Australia Pacific Pty Ltd,Automotive,original
MERCER (AUSTRALIA) PTY LTD,"Consulting, Accounting & Professional Services",inferred
MERCK HEALTHCARE PTY LTD,"Healthcare, Medical & Pharmaceutical",original
MERCK SHARP & DOHME (AUSTRALIA) PTY LTD,"Healthcare, Medical & Pharmaceutical",original
MERCY AGED AND COMMUNITY CARE LTD,"Aged Care, Disability & Social Services",original
Mercy Hospitals Victoria Ltd,"Healthcare, Medical & Pharmaceutical",inferred
Meriden School,Education - Schools & Training,original
Merredin Farms Pty Ltd,"Agriculture, Food & Beverage",original
Merriang Special Developmental School,Education - Schools & Training,original
MERRILL LYNCH MARKETS (AUSTRALIA) PTY. LIMITED.,Banking & Financial Services,inferred
MESSAGE-40 PTY LTD,Unknown / To Check,unresolved
META PM PTY LTD,"Consulting, Accounting & Professional Services",inferred
METCASH TRADING LIMITED,Consumer Goods & Retail,inferred
METKA EGN AUSTRALIA PTY LTD,Engineering & Construction,inferred
METLIFE INSURANCE LIMITED,Insurance,original
Metro Trains Melbourne Pty Ltd,Transport & Logistics,inferred
Metrowest Electrical & Communications Pty Ltd,Telecommunications,original
METT PTY LTD,Unknown / To Check,unresolved
MGC SOLUTIONS PTY LTD,Unknown / To Check,unresolved
MGM BULK PTY LTD,Transport & Logistics,inferred
MGW Engineering Pty Ltd,Engineering & Construction,original
MHN DESIGN UNION PTY LIMITED,Architecture & Design,inferred
MICHAEL CASSEL GROUP PTY LTD,"Media, Entertainment & Creative",inferred
MICHAEL HILL JEWELLER (AUSTRALIA) PTY LTD,Consumer Goods & Retail,inferred
MICHAEL PAGE INTERNATIONAL (AUSTRALIA) PTY. LIMITED,"Recruitment, HR & Labour Hire",inferred
MICHELIN AUSTRALIA PTY LTD,Automotive,inferred
MICK MURRAY WELDING (N.T.) PTY LTD,Manufacturing & Industrial,inferred
Mickleham Secondary College,Education - Schools & Training,original
MICRO FOCUS AUSTRALIA PTY LTD,Information Technology & Software,inferred
Micromine Pty Ltd,Information Technology & Software,inferred
Microsoft Pty Ltd,Information Technology & Software,original
MICROSTRATEGY PTY LTD,Information Technology & Software,inferred
MID NORTH COAST LOCAL HEALTH DISTRICT,"Healthcare, Medical & Pharmaceutical",original
MIELE AUSTRALIA PTY. LIMITED,Consumer Goods & Retail,inferred
MIGHTYHIVE AU PTY LTD,Marketing & Advertising,inferred
Mildura Base Public Hospital,"Healthcare, Medical & Pharmaceutical",original
Millell Pty Ltd,Unknown / To Check,unresolved
Mills Oakley Lawyers,Legal Services,original
MIME-CAST AUSTRALIA PTY LTD,Information Technology & Software,inferred
MINARA RESOURCES PTY LTD,"Mining, Resources & Energy",original
MINERAL RESOURCES LIMITED,"Mining, Resources & Energy",original
Minetek Pty Ltd,Manufacturing & Industrial,inferred
Mingara Recreation Club Ltd,"Hospitality, Travel & Tourism",inferred
Mining One Pty Ltd,"Mining, Resources & Energy",original
Mining Plus Pty Ltd,"Mining, Resources & Energy",original
MINISTRY OF HEALTH,"Healthcare, Medical & Pharmaceutical",original
MINJAR GOLD PTY LTD,"Mining, Resources & Energy",original
MINOR HOTELS AUSTRALASIA LIMITED,"Hospitality, Travel & Tourism",original
MINPROVISE INTERNATIONAL PTY LTD,"Mining, Resources & Energy",inferred
MINTER ELLISON SERVICES PTY LIMITED,Legal Services,inferred
MINTERELLISON,Legal Services,inferred
MIP (AUST) Pty Ltd,Unknown / To Check,unresolved
MIQ DIGITAL AUSTRALIA PTY LTD,Information Technology & Software,original
MIQ HEALTH PTY LIMITED,"Healthcare, Medical & Pharmaceutical",original
MIRI_JS AUSTRALIA PTY LTD,Unknown / To Check,unresolved
MIRVAC PROJECTS PTY LTD,Real Estate & Property,inferred
MITSUBISHI AUSTRALIA LIMITED,"Mining, Resources & Energy",inferred
Mitsubishi Development Pty Ltd,Real Estate & Property,original
Mitsubishi Electric Australia Pty Ltd,Manufacturing & Industrial,inferred
MITSUBISHI ESTATE ASIA PTE. LTD.,Real Estate & Property,inferred
"Mitsubishi Heavy Industries Air Conditioners Australia, Pty. Ltd.",Manufacturing & Industrial,original
MITSUBISHI MOTORS AUSTRALIA LIMITED,Automotive,original
MITSUI AND CO AUSTRALIA LTD,"Mining, Resources & Energy",inferred
MITSUI FUDOSAN AUSTRALIA PTY. LTD,Real Estate & Property,inferred
"Mitsui Sumitomo Insurance Co., Ltd.",Insurance,original
Mizco Pty Ltd,Unknown / To Check,unresolved
"Mizuho Bank, Ltd",Banking & Financial Services,original
MLC Limited,Insurance,inferred
MLG Oz Limited,"Mining, Resources & Energy",inferred
MMD Australia Pty Ltd,Manufacturing & Industrial,inferred
MMG Australia Limited,"Mining, Resources & Energy",inferred
MOBIS PARTS AUSTRALIA PTY LTD,Automotive,inferred
MODEC MANAGEMENT SERVICES PTE LTD,"Mining, Resources & Energy",inferred
Moderna Australia Pty Ltd,"Healthcare, Medical & Pharmaceutical",inferred
MOGAS INDUSTRIES PTY. LTD.,Manufacturing & Industrial,original
MOL SHIPPING (AUSTRALIA) PTY LTD,Transport & Logistics,original
Molloy Electrical Contracting Pty Ltd,Engineering & Construction,original
MONADELPHOUS GROUP LIMITED,Engineering & Construction,inferred
MONASH HEALTH,"Healthcare, Medical & Pharmaceutical",original
MONASH SPECIAL DEVELOPMENTAL SCHOOL,Education - Schools & Training,original
Monash University,Education - Universities & Higher Ed,original
Monde Nissin (Australia) Pty Ltd,"Agriculture, Food & Beverage",inferred
Mondelez Australia Pty Ltd,"Agriculture, Food & Beverage",original
MONDIALE VGL PTY LTD,Transport & Logistics,inferred
MONEYME FINANCIAL GROUP PTY LTD,Banking & Financial Services,original
MongoDB Australia Pty Ltd,Information Technology & Software,inferred
MONTELUSA PTY LTD,Unknown / To Check,unresolved
Montserrat DH Pty Ltd,"Healthcare, Medical & Pharmaceutical",inferred
MOO MOO (BRISBANE) PTY LTD ATF MOO MOO (BRISBANE) UNIT TRUST,"Hospitality, Travel & Tourism",inferred
Moody's Analytics Australia Pty Ltd,Information Technology & Software,original
MOORE AUSTRALIA (VIC) PTY LTD.,"Consulting, Accounting & Professional Services",inferred
MOOSE SERVICES PTY LTD,Consumer Goods & Retail,inferred
MOQdigital Pty Ltd,Information Technology & Software,inferred
MORANBAH COMMUNITY WORKERS CLUB INC,"Hospitality, Travel & Tourism",inferred
MORDIALLOC COLLEGE,Education - Schools & Training,original
MORGAN PASTORAL PTY LTD,"Agriculture, Food & Beverage",original
Morgan Stanley Australia Ltd,Banking & Financial Services,original
Moriah War Memorial College Association,Education - Schools & Training,original
Morningstar Australasia Pty Ltd,Banking & Financial Services,inferred
Morrow Sodali Pty Limited,"Consulting, Accounting & Professional Services",inferred
MOSSFIEL PRIMARY SCHOOL,Education - Schools & Training,original
MOTORCYCLE HOLDINGS -rco PTY LTD,Automotive,inferred
Motorola Solutions Australia Pty Limited,Telecommunications,inferred
Mott MacDonald Australia Pty Ltd,Engineering & Construction,original
MOUNT ISA CITY COUNCIL,Government & Public Sector,original
Mount Isa Mines Limited,"Mining, Resources & Energy",inferred
Mount Ridley P-12 College,Education - Schools & Training,original
MOUNT WAVERLEY SECONDARY COLLEGE,Education - Schools & Training,original
Moxey Farms Pty Limited,"Agriculture, Food & Beverage",original
MT BAW BAW ALPINE RESORT,"Hospitality, Travel & Tourism",original
MTR Corporation (Sydney) SMCSW Pty Ltd,Transport & Logistics,inferred
MUD'S INSPECTION AND WELDING SERVICES PTY LTD,Manufacturing & Industrial,inferred
MUDBATH & CO PTY. LTD.,Information Technology & Software,inferred
MUFG Bank Ltd,Banking & Financial Services,original
Multi-Color (QId) Pty Ltd,Manufacturing & Industrial,inferred
Multiplex Australasia Pty Ltd,Engineering & Construction,inferred
MULTIQUIP PTY LTD,Manufacturing & Industrial,inferred
Multivac Australia Pty ltd,Manufacturing & Industrial,inferred
MULWARRA EXPORT PTY LTD,"Agriculture, Food & Beverage",inferred
MUNICH HOLDINGS OF AUSTRALASIA PTY LTD,Insurance,inferred
MUNICIPAL ASSOCIATION OF VICTORIA,Government & Public Sector,original
Murdoch Children's Research Institute,"Healthcare, Medical & Pharmaceutical",inferred
Murdoch University,Education - Universities & Higher Ed,original
MUREX AUSTRALIA PTY LTD,Information Technology & Software,inferred
MURRIJMBIDGEE LOCAL HEALTH DISTRICT,"Healthcare, Medical & Pharmaceutical",original
Murto Pty Ltd,Unknown / To Check,unresolved
Murweh Shire Council,Government & Public Sector,original
MUSTARD CREATIVE MEDIA PTY LTD,Marketing & Advertising,inferred
Muy bien PTY Ltd,Unknown / To Check,unresolved
MW-ISM Holdings,Unknown / To Check,unresolved
MyBudget Pty Ltd,Banking & Financial Services,inferred
MYER PTY LTD,Consumer Goods & Retail,inferred
MyHealth Management Pty Ltd,"Healthcare, Medical & Pharmaceutical",inferred
MYOB AUSTRALIA PTY LTD,Information Technology & Software,original
N G P Investments (No 1) Pty Ltd,Banking & Financial Services,original
N G P MELBOURNE PTY LTD,Unknown / To Check,unresolved
N.A. Kratzmann & Sons Pty Ltd,Unknown / To Check,unresolved
N.AAckroyd & Others,Unknown / To Check,unresolved
N.B BATROUNEY & R.F WILCOX,Unknown / To Check,unresolved
N.H.P. ELECTRICAL ENGINEERING PRODUCTS PROPRIETARY LIMITED,Engineering & Construction,original
NACAP Pty Ltd,Engineering & Construction,inferred
Nandos Australia Pty Ltd,"Hospitality, Travel & Tourism",inferred
Nanosonics Limited,"Healthcare, Medical & Pharmaceutical",original
NAPIER & BLAKELEY PTY LTD,Real Estate & Property,inferred
Nasdaq Pty Ltd,Banking & Financial Services,inferred
Natalie Marie Jewellery Pty Ltd,Consumer Goods & Retail,inferred
National Hearing Centres Pty Ltd,"Healthcare, Medical & Pharmaceutical",inferred
NATIONAL HEART FOUNDATION OF AUSTRALIA,"Religious, Charitable & Non-profit",original
National Institute of Dramatic Art,Education - Universities & Higher Ed,inferred
NATIONAL MEDIA PTY LTD,"Media, Entertainment & Creative",inferred
